date_debut,date_fin,titre_court,description_rapide,categorie,pays
2020-03-11,2020-03-11,Début de la pandémie de COVID-19 en Asie du Sud-Est,Propagation rapide du virus et mises en place de mesures sanitaires et économiques dans la région.,Santé/Economie,Région SEA
2021-02-01,2021-02-01,Coup d'État en Myanmar,Renversement du gouvernement démocratiquement élu et mise en place d'un régime militaire,Politique/Juridique,Myanmar
2014-04-01,2014-04-30,Pilote d'interdiction d'abattage dans Heilongjiang,Interdiction du logging commercial dans les forêts naturelles du Heilongjiang,Environnement/Politique,Chine
2015-01-01,2017-12-31,Extension de l'interdiction chinoise sur l'exploitation des forêts naturelles,Expansion nationale de l'interdiction de l'abattage dans les forêts naturelles,Environnement/Politique,Chine
2017-12-20,2018-01-31,Droits d'exportation pour les essences du Far East russe,"Quotas d'exportation pour le bois d'épicéa et de pin du Far East + droits d'export de 6,5% (min 4 €/m3 dans les quotas)",Économie/Logistique,Russie
2018-05-17,2019-12-31,Nouveaux droits sur les exports de rondins russes,"Droits progressifs passant à 40% en 2019, 60% en 2020 et 80% en 2021",Économie/Logistique,Russie
2012-12-11,2013-12-31,Impact du commerce illégal de bois en Chine,La Chine n'a pas de législation claire interdisant les importations de bois illégal,Politique/Environnement,Chine
2013-01-01,2013-12-31,Pic des importations de sciages de conifères au Japon,Importations de sciages et placages de conifères atteignant environ 13 M m3 en 2013,Économie/Logistique,Japon
2012-09-11,2013-01-01,Tensions Chine/Japon sur les îles Diaoyu/Senkaku,Désaccords et protestations autour des îles disputées entre la Chine et le Japon qui ont marqué l’année,Politique/Géopolitique,Chine/Japon
2013-02-12,2013-02-12,Deuxième essai nucléaire nord-coréen,"La Corée du Nord affirme avoir mené un essai nucléaire, renforçant les tensions régionales",Politique/Géopolitique/Environnement,Corée du Nord/Chine/République de Corée
2013-03-01,2013-03-31,Incidents en mer de Chine orientale,"Accrochages et patrouilles entre Chine, Japon et autres acteurs autour des zones maritimes disputées",Géopolitique/Économie,Chine/Japon
2014-11-01,2014-11-30,Indonération de l’AIIB annoncée,"La Chine lance l’Asian Infrastructure Investment Bank, visant à financer l’infrastructure régionale",Économie/Technologie/Global,Chine
2015-07-01,2015-12-31,Bascule économique régionale post-échange,Changements dans les chaînes d’approvisionnement et dans le commerce régional en raison des tensions sino-américaines,Économie/Global,Chine/Réf. internationale
2016-01-06,2016-01-06,Quatrième essai nucléaire nord-coréen,Nouvelle démonstration militaire de Pyongyang renforçant les sanctions et les tensions,Politique/Géopolitique,Corée du Nord/Chine/République de Corée
2016-02-07,2016-02-07,Test de missile nord-coréen à moyenne portée,Pyongyang lance un missile provoquant l’indignation internationale,Géopolitique/Sanitaire?,Corée du Nord
2017-08-29,2017-08-29,Échec des négociations économiques sino-américaines,Les consultations commerciales entre Chine et partenaires économiques convergent vers des positions plus protectionnistes,Économie/Global,Chine/USA
2018-04-27,2018-04-27,Rencontres inter-coréennes historiques,Moon Jae-in et Kim Jong-un tiennent une série de discussions visant à réduire les tensions,Politique/Géopolitique,Corée du Nord/République de Corée
2018-06-12,2018-06-12,Cérémonie diplomatique Sino-nord-coréenne,Première visite officielle d’un dirigeant nord-coréen en Chine depuis des années,Politique/Géopolitique,Chine/République de Corée/Corée du Nord
2018-06-12,2018-06-12,Sommet américano-nord-coréen à Singapour, Première rencontre historique entre Donald Trump et Kim Jong-un sur la péninsule,Politique/Géopolitique/Global,Corée du Nord/USA/Chine
2019-03-01,2019-03-31,Protestations à Hong Kong,"Mouvements pro-démocratie dans l’territoire chinois, avec répercussions économiques et géopolitiques",Social/Juridique,Chine/Hong Kong
2020-01-23,2020-01-23,Covid-19 déclaré pandémie mondiale,"Propagation rapide du SARS-CoV-2 à partir de Wuhan, impact sanitaire et économique global",Santitaire/Economie/Global,Chine/Global
2020-03-11,2020-03-11,Fermetures transfrontalières et mesures d’urgence en Asie,Divers pays de la région imposent des confinements et des contrôles sanitaires,Santaire/Logistique/Global,Chine/Japon/République de Corée/Canada
2021-01-01,2021-12-31,Tensions autour du détroit de Taiwan,Renforcement des capacités militaires et des démonstrations diplomatiques entre Taïwan et la Chine,Géopolitique/Global,Chine/Taïwan
2021-11-01,2021-11-01,Élections et réformes économiques japonaises,Changements de politique économique et industrielle au Japon,Économie/Politique,Japon
2022-02-04,2022-02-04,Conflits énergétiques et dépendances régionales,Augmentation des tensions sur l’approvisionnement énergétique et les ressources,Économie/Geopolitique,Chine/Japon/République de Corée
2022-04-16,2022-04-16,Missile nord-coréen échoué,Test de missile nord-coréen interrompu et démenti par Pyongyang,Géopolitique,Corée du Nord
2023-03-22,2023-03-22,Rencontre diplomatique Chine-Corée du Nord,Visites et accords potentiels sur le commerce et la sécurité régionale,Politique/Géopolitique,Chine/Corrée du Nord
2023-10-07,2023-10-07,Crise sanitaire et contamination en Chine,Gestion de la pandémie et expériences sanitaires face à de nouveaux variants,Santé/Global,Chine
2024-01-15,2024-01-15,Augmentation des tensions dans le détroit entre Taïwan et Chine,Activités militaires et manœuvres autour du détroit,Géopolitique,Chine/Taïwan
2024-08-20,2024-08-20,Lancement de programmes technologiques régionaux,Coopération sino-japo‑coréenne dans les technologies avancées (IA/5G),Technologie/Global,Chine/Japon/République de Corée
2025-02-04,2025-02-04,Élections et réformes politiques en Mongolie,Changements politiques et économiques ayant un effet régional,Politique/Économie,Mongolie/Chine
2025-07-10,2025-07-10,Accords commerciaux régionaux renforcés,Prolongement des accords régionaux de commerce et infrastructure,Économie/Global,Chine/Japon/République de Corée/Mon?
2013-01-01,2014-01-01,Réduction des importations de bois en Turquie,Mise en œuvre de quotas pour le bois d'importation afin de contrôler la déforestation,Économie/Logistique,Turquie
2015-01-01,2016-01-01,Entrée en vigueur des normes de traçabilité du bois aux EAU,Les Émirats adoptent des exigences de diligence raisonnable pour les importations de bois,Économie/Logistique/Environnement,Émirats Arabes Unis
2016-01-01,2017-01-01,Iran réforme des importations de bois,Nouvelle réglementation sur l'importation de matières premières forestières,Économie/Géopolitique,Iran
2019-01-01,2020-01-01,Arabie Saoudite intensifie les contrôles à la douane sur le bois,Renforcement des contrôles et des vérifications d'origine,Logistique/Économie,Arabie Saoudite
2021-01-01,2022-01-01,Turquie promeut le bois lamellé-coussin,Subventions et révision des droits d'importation,Économie/Technologie,Turquie
2024-01-01,2025-01-01,Éthique et durabilité du bois importé au Qatar,Mise en place de exigences de durabilité pour imports de bois,Économie/Environnement,Qatar
2012-01-01,2012-12-31,Début du conflit syrien,Début de la révolte puis du conflit armé en Syrie,Politique/Géopolitique/Autre,Syrie
2013-08-21,2013-08-22,Usage présumé d'armes chimiques en Syrie,Accusations et enquêtes internationales sur l'emploi d'armes chimiques en Syrie,Géopolitique/Santé/Autre,Syrie
2015-07-14,2015-12-31,Signature du Plan d’Action Coordonné (JCPOA),Accord nucléaire entre l'Iran et 6 puissances occidentales (période de mise en œuvre et de surveillance),Politique/Juridique/Économie,Iran
2016-07-15,2016-07-16,Tentative de coup d'État en Turquie,Tentative de coup d'État et répression politique,Politique/Géopolitique,Turquie
2018-05-08,2018-06-01,Retrait des États-Unis du JCPOA,Les États-Unis se retirent du JCPOA et rétablissent des sanctions,Géopolitique/Économie,Iran/États-Unis
2020-09-15,2020-09-15,Accords d'Abraham (Israël–EAU/ Bahreïn),Normalisation des relations entre Israël et des pays arabes,Politique/Géopolitique/Global,Émirats arabes unis/Bahreïn/Israël
2021-08-20,2021-08-20,Reprise des échanges diplomatiques Iran–Vrem: diplomatie régionale,Rétablissement de canaux diplomatiques entre l'Iran et des partenaires régionaux,Politique/Géopolitique,Iran
2022-12-09,2022-12-09,Premier sommet Chine-Arabie Saoudite à Riyad,Renforcement des liens Chine-Arabie Saoudite et coopération régionale,Géopolitique/Global,Arabie Saoudite/Chine
2023-03-10,2023-03-10,Rapprochement Iran–Arabie Saoudite,Rétablissement des relations diplomatiques entre l’Iran et l’Arabie Saoudite,Politique/Géopolitique,Iran/Arabie Saoudite
2023-10-07,2023-10-07,Retrait et réinsertion partielle de troupes dans divers conflits,Évolution des engagements militaires dans plusieurs États du Sud-Ouest asiatique,Géopolitique/Conflit,Turquie/Iran/Syrie
2024-02-01,2024-02-29,Intensification des investissements énergétiques au Moyen-Orient,Augmentation des projets énergétiques et de diversification énergétique,Économie/Environnement,Arabie Saoudite/UAE/Koweït
2024-11-01,2024-11-30,Consolidation des accords de normalisation régionale,Progrès dans les accords de normalisation et coopération régionale,Politique/Géopolitique/Global,Émirats arabes unis/Arabie Saoudite/Israel
2025-02-14,2025-02-28,Événement sportif international à Riyad démontrant ouverture régionale,Organisation de compétitions sportives internationales et rayonnement régional,Logistique/Global,Arabie Saoudite
2025-09-01,2025-09-30,Développements géopolitiques majeurs régionaux,Évolutions diplomatiques et alliances stratégiques dans le Sud-Ouest asiatique,Géopolitique/Global,Groupe régional (MENA)
2012-01-01,2012-12-01,Réforme du Code forestier brésilien,Modification du cadre légal du bois et des prélèvements forestiers influençant les exportations de bois,Politique/Géopolitique/Économie/Environnement,Brésil
2013-06-01,2014-12-01,Mise en place du DOF et du contrôle des documents,Renforcement des documents d'origine du bois et des contrôles en amont pour limiter les bois illégaux exportés,Logistique/Juridique/Économie,Brésil
2014-02-01,2014-12-01,Création d’un cadre de diligence raisonnable pour l’import de bois,Introduction d’outils de traçabilité et de vérification pour les importateurs de bois,Technologie/Économie,Brésil
2015-03-01,2015-12-01,Écho mondial sur le bois illégal et premières pressions Mercosur,Contexte de pression internationale sur les exportations de bois depuis les partenaires Mercosur,Politique/Environnement,Brésil
2016-06-01,2017-04-01,Renforcement des règles d’import/export et vérifications IBAMA,Renforcement des contrôles et des vérifications lors des exportations de bois par l’agence IBAMA,Logistique/Juridique/Environnement,Brésil
2017-01-01,2018-12-01,Échanges commerciaux bois en Mercosur et premiers rapports de traçabilité,Croissance des flux commerciaux bois entre pays Mercosur et adoption progressive d’outils de traçabilité,Économie/Logistique/Technologie,Brésil/Argentine/Paraguay/Uruguay
2018-05-01,2019-04-01,Initiatives Mercosur sur le bois légal,Dialogue et accords bilatéraux Mercosur pour promouvoir le bois légal et lutter contre l’exploitation illégale,Politique/Économie/Environnement,Brésil/Argentine/Paraguay/Uruguay
2019-03-01,2019-12-01,Rapports sur les exportations de bois et concertation régionale,Rapports régionaux sur les flux d’exportation/importation de bois et coordination des contrôles,Économie/Logistique/Social,Brésil/Argentine/Paraguay/Uruguay
2020-02-01,2021-05-01,Opération Akuanduba et révision d’instructions IBAMA,Enquête sur les exportations de bois et révisions des instructions d’exportation par IBAMA,Géopolitique/Juridique/Environnement,Brésil
2020-07-01,2021-11-01,Échanges et contrôles renforcés entre Mercosur,Renforcement des contrôles et coordination entre les autorités douanières des pays Mercosur sur le bois,Logistique/Juridique/Économie,Brésil/Argentine/Paraguay/Uruguay
2021-12-01,2022-11-01,Mise à jour du service de traçabilité du bois brésilien (DOF/BVRio),Actualisation des outils de diligence raisonnable et de traçabilité pour les importations de bois,Technologie/Économie,Brésil
2023-01-01,2023-12-01,Évolution des mécanismes de diligence et de traçabilité dans le Mercosur,Adoption progressive de mécanismes de traçabilité et de diligence pour le bois au niveau régional,Économie/Logistique/Environnement,Brésil/Argentine/Paraguay/Uruguay
2024-04-01,2025-02-01,Investigations internationales sur le bois brésilien,Enquêtes et rapports sur les exportations de bois issues de forêts protégées et le blanchiment,Géopolitique/Environnement/Économie,Brésil
2025-03-01,2025-12-01,Consolidation des cadres de bois légal Mercosur,Renforcement des cadres régionaux et des échanges sur le bois légal et les importations entre les pays Mercosur,Politique/Économie/Environnement,Brésil/Argentine/Paraguay/Uruguay
2012-07-31,2012-08-31,Venezuela devient membre plein du Mercosur,Venezuela rejoint officiellement le Mercosur en tant que membre plein après l’admission en 2012,Politique/Économie/Global,Venezuela
2012-12-08,2013-12-08,Bolivie signe le protocole d’adhésion,Bolivie signe le protocole d’adhésion au Mercosur en vue d’une adhésion pleine,Politique/Économie/Géopolitique,Bolivie
2013-08-15,2014-08-15,Paraguay suspension levée,La suspension du Paraguay du Mercosur est levée après la crise politique de Lugo,Politique/Géopolitique,Paraguay
2015-07-17,2016-07-17,Bolivie protocol d’adhésion approuvé,Les États membres signent le nouveau protocole d’adhésion de Bolivie au Mercosur,Politique/Économie,Bolivie
2016-12-02,2017-01-02,Venezuela suspendue des droits de membre,Les droits inhérents à la qualité de membre de Venezuela sont suspendus du Mercosur,Politique/Géopolitique,Venezuela
2024-07-08,2025-07-08,Bolivie devient membre plein du Mercosur,"Promulgation et ratification finalisées pour l’adhésion de Bolivie, devenant ainsi membre plein",Politique/Économie,Bolivie
2024-07-03,2024-07-03,Bolivie déposes protocol d’adhésion,"Le protocole d’adhésion de Bolivie est déposé et ratifié par les autorités compétentes, progressant vers l’entrée officielle",Politique/Économie,Bolivie
2024-09-02,2025-09-02,Bolivie participe à une réunion d alto niveau en tant que État partie,Bolivie participe pour la première fois à une réunion de haut niveau du Mercosur en tant qu’État partie,Politique/Économie,Bolivie
2017-04-24,2017-05-01,Droits anti-dumping et countervailing sur bois d'œuvre canadien,Les États-Unis annoncent des droits sur le bois d'œuvre canadien en réponse à des subventions et pratique commerciale,Politique/Juridique/Économie/Logistique,US/Canada
2017-11-01,2018-01-31,Poursuite des discussions sur les droits du bois d'œuvre,Les deux pays poursuivent les négociations et révisions tarifaires liées au bois d'œuvre,Politique/Économie,US/Canada
2019-12-10,2020-06-30,"Annonce de l'accord USMCA (ACEUM) entre États-Unis, Canada et Mexique","Signature d'un nouvel accord de libre-échange remplaçant le NAFTA dans le cadre des règles de commerce nord-américain, impliquant le secteur forestier",Politique/Économie/Global,US/Canada/Mexique
2020-07-01,2020-07-01,Entrée en vigueur de l'USMCA,"L'USMCA entre en vigueur, influençant les règles d'import/export du bois et des produits forestiers en Amérique du Nord",Économie/Logistique/Global,US/Canada/Mexique
2024-05-07,2024-05-07,Règle NAFTA: Panneau de litige sur les droits contre le bois canadien,NAFTA confirme une procédure de règlement de différends sur les droits imposés au bois d'œuvre canadien,Politique/Juridique/Économie,Canada/États-Unis
2021-01-01,2021-12-31,Fluctuations des prix du bois d'œuvre et tensions logistiques,Vagues de prix et perturbations de la chaîne d'approvisionnement affectant les échanges nord-américains de bois,Économie/Logistique,US/Canada/Mexique
2012-06-01,2012-12-31,Contexte de marché forestier nord-américain,Période de forte demande en bois d'œuvre et de dépendance à l'importation entre le Canada et les États-Unis,Économie/Logistique,US/Canada
2017-08-16,2017-09-16,Début des négociations pour l'USMCA,Official start of renegotiations to modernize NAFTA,Politique/Géopolitique/Économie,USA/Mexico/Canada
2018-11-30,2018-12-30,Signature de l'accord USMCA,Signature par les trois pays,Politique/Économie/Juridique,USA/Mexico/Canada
2019-12-19,2020-01-19,Approbation de l'USMCA par la Chambre des représentants,La Chambre des représentants approuve l'USMCA,Politique/Juridique/Économie,USA
2020-01-16,2020-02-16,Approbation de l'USMCA par le Sénat,Le Sénat américain approuve l'USMCA,Politique/Juridique,USA
2020-01-29,2020-02-29,USMCA signé en loi,Loi promulguant l'USMCA (P.L. 116-113),Politique/Juridique/Économie,USA
2020-07-01,2020-08-01,Entrée en vigueur de l'USMCA,L'USMCA remplace officiellement NAFTA sur tout le continent,Économie/Logistique/Politique,USA/Mexico/Canada
2020-12-27,2021-01-27,Consolidated Appropriations Act 2021 — corrections techniques,Corrections techniques rétroactives et ajustements au USMCA,Juridique/Économie,USA
2025-01-17,2025-02-17,Publication d'une Règle intérimaire USMCA (Textiles/Automobile),Règles d'application et clarifications des provisions USMCA,Juridique/Économie/Technologie,USA
2012-12-01,2012-12-31,7e Sommet ACP (Sipopo) ,Rencontre des Heads of State ACP marquant le renouvellement des orientations stratégiques et le renforcement de la coopération,Politique/Géopolitique,Equatorial Guinea
2016-05-01,2016-06-30,8e Sommet ACP (Port Moresby) ,Sommet sur la repositionnement du groupe ACP et les défis du développement durable,Politique/Économie,Papua New Guinea
2022-12-01,2022-12-31,10e Sommet ACP (Luanda) ,"Déclaration de Luanda axée sur la résilience et le développement durable, incluant des engagements sur l’économie et le climat",Politique/Économie/Environnement,Angola
2023-11-15,2024-01-15,Samoa Agreement signée ,"Signature du nouveau partenariat OACPS-EU remplaçant le Cotonou, avec application provisoire dès le 1er janvier 2024",Politique/Géopolitique/Économie,Samoa
2025-10-30,2025-11-30,Déclaration de Luanda sur le financement des infrastructures ,Renforcement des cadres de financement et d’investissement pour les infrastructures à travers l’OACPS et l’Agenda 2063,Politique/Économie/Global,Angola
2014-09-30,2014-11-30,Tunisie – Enquêtes anti-doute MDF bois,"Tunisie a inscrit une enquête de sauvegarde sur le bois fibre MDF (fibreboard), portant sur les importations de MDF et visant à évaluer les mesures de sauvegarde",Politique/Géopolitique/Economie/Logistique,Tunisie
2013-02-06,2013-02-06,Assassinat de Chokri Belaïd,Collision politique majeure après l'assassinat du leader de l'opposition Chokri Belaïd,Politique/Policing/Sécurité/Autre,Tunisie
2013-07-25,2013-07-25,Assassinat de Mohamed Brahmi,Nouvelle crise politique après l'assassinat du parlementaire Mohamed Brahmi,Politique/Sécurité/Autre,Tunisie
2014-01-26,2014-01-26,Adoption de la Constitution tunisienne,La Constitution adoptée par référendum marque la transition démocratique,Géopolitique/Politique/Juridique,Tunisie
2014-07-29,2014-07-29,Abandon des dispositions d'interdiction des anciennes activités politiques radicales,Mesures légales et politiques dans le cadre de la consolidation démocratique,Juridique/Politique,Tunisie
2015-03-18,2015-03-18,Attentat du musée du Bardo et attaques de Sousse,Attaques terroristes majeures qui frappent le tourisme et la sécurité intérieure,Sécurité/Économie/Global,Tunisie
2015-03-26,2015-03-26,Attentat du musée du Bardo revendiqué,"Attentat au musée du Bardo à Tunis, plusieurs morts",Sécurité/Global,Tunisie
2015-06-26,2015-06-26,Insurrection à Ben Guerdane,Affrontements contre des groupes armés entraînant une crise sécuritaire régionale,Géopolitique/Sécurité,Tunisie
2019-09-15,2019-09-15,Élection présidentielle – Kais Saied,"Kais Saied remporte l’élection présidentielle, marquant une rupture politique",Politique/Économie/Global,Tunisie
2019-10-06,2019-10-06,Élection parlementaire 2019,Élections législatives marquant le paysage politique post-révolution,Politique/Économie,Tunisie
2019-11-23,2019-11-23,Transition parlementaire et stabilité politique,Poursuite des réformes démocratiques après les élections,Politique/Juridique,Tunisie
2021-07-25,2021-07-25,Dissolution du parlement et prise de contrôle présidentielle,Saisi du pouvoir par le président Saied et suspension du parlement,Politique/Sécurité/Juridique,Tunisie
2022-07-25,2022-07-25,Référendum constitutionnel 2022 (nouvelle constitution),Vote sur une nouvelle constitution après la suspension,Géopolitique/Politique/Juridique,Tunisie
2023-05-01,2023-05-31,Crise économique et plan de sauvetage IMF,Négociations et plans de soutien économique avec le FMI,Économie/Global,Tunisie
2024-04-10,2024-04-10,Réformes économiques et sociales majeures,Avancées et ajustements économiques et sociaux dans le cadre des réformes,Économie/Social/Politique,Tunisie
2025-04-23,2025-04-23,Mort de Fouad Mebazaa, Décès de l’ancien président intérimaire de la transition post-révolution (2011),Politique/Histoire,Tunisie
2018-01-07,2018-02-07,Suspension des importations de produits bois,"Publication d'un décret exécutif listant les produits inclus dans l'interdiction d'importer, incluant les produits bois et dérivés",Politique/Géopolitique/Économie/Logistique,Algérie
2021-03-01,2021-12-31,Mise en oeuvre du Décret 21-94 sur les importations finies,Rationalisation des importations par spécialisation des activités et limitation de l'importation à une catégorie par opérateur,Économie/Juridique/Logistique,Algérie
2024-10-21,2025-02-28,Relèvement des restrictions sur les importations de matières premières,Ordre de déverrouillage des importations de matières premières essentielles pour les industries locales afin d'éviter les pénuries,Économie/Logistique/Social,Algérie
2025-07-16,2026-01-16,UE lance une procédure d'arbitrage sur les restrictions commerciales algériennes,L'UE conteste les restrictions à l'import et les mesures d'injection dans le cadre de l'Accord d'association UE-Algérie,Politique/Géopolitique/Économie,Algérie/UE
2012-01-01,2012-02-01,Ouverture/ajustements initiaux du cadre commercial du bois en Algérie (exemples historiques),"Contexte historique des échanges de bois et ajustements des politiques d'importation, année marquant le début d'une période de politiques protectionnistes sporadiques",Économie/Logistique,Algérie
2019-01-29,2019-02-28,Fin de certains interdits d'importation et augmentation des droits de douane,"Algérie met fin à certains interdits et applique des droits de douane sur plusieurs produits, influençant le coût des matériaux bois importés",Économie/Logistique,Algérie
2013-01-16,2013-01-19,In Amenas hostage crisis,prise d'otages à l'installation gazière Tigantourine par des jihadistes,Sécurité/Géopolitique/Autre,Algérie
2014-03-01,2014-04-30,Mouvements Barakat (protestations anti-réélection),grandes manifestations contre le projet de 4e mandat et les réformes politiques,Politique/Société,Algérie
2019-02-22,2019-03-07,Début du Hirak et montée des protestations,déferlement hebdomadaire de manifestants demandant un changement politique radical,Politique/Social,Algérie
2019-04-02,2019-04-02,Démission d'Abdelaziz Bouteflika,Bouteflika annonce sa démission et met fin à son quatrième mandat,Politique/Juridique,Algérie
2019-12-12,2019-12-12,Élection présidentielle de Tebboune,Abdelmadjid Tebboune élu président à l'issue d'un scrutin contesté par les manifestants,Politique/Géopolitique,Algérie
2020-11-01,2020-11-01,Référendum constitutionnel 2020,révision constitutionnelle proposée et référendum organisé,Politique/Juridique,Algérie
2020-03-01,2020-12-31,COVID-19 en Algérie,"mesures sanitaires, confinements et impacts économiques et sociaux",Santé/Social/Économie,Algérie
2021-02-22,2021-02-22,Journée nationale de cohésion et de relation Armée-Peuple,annonce du gouvernement sur le cadre de la sécurité et la stabilité,Politique/Social,Algérie
2023-06-08,2023-06-08,Élections législatives 2023 (par défaut),"premier scrutin legislative après Hirak, marquant le contrôle du parlement sous le pouvoir en place",Politique/Géopolitique,Algérie
2024-12-31,2025-12-31,Évolutions économiques et sociales post-pandémie,réformes économiques et tensions sociales persistantes,Économie/Social,Algérie
2019-09-20,2022-09-20,Sunset review extension for coated wood board duty,Renouvellement de la taxe de sauvegarde sur les panneaux de bois plaqués,Juridique/Economie/Logistique,Morocco
2020-12-01,2021-12-01,Impact de la pandémie sur les importations de bois au Maroc,Perturbation des chaînes d'approvisionnement en bois et produits dérivés,Économie/Logistique,Morocco
2025-04-14,2028-04-14,Tarifs sur les panneaux composites en bois importés,Taxe spécifique additionnelle sur les panneaux composites en bois,Économie/Logistique,Morocco
2025-04-14,2028-04-14,Mesure de protection des importations de bois lamellé et panneaux,Exemption et quotas pour certains produits en bois importés,Économie/Logistique,Morocco
2012-11-25,2012-12-31,Élections législatives marocaines 2012,Première étape majeure du mouvement démocratique après l’adoption de la Constitution: victoire du PJD et recomposition du gouvernement,Politique/Géopolitique,Maroc
2020-03-16,2020-04-01,État d'urgence sanitaire lié à la COVID-19,Mesures de confinement et fermeture des frontières pour contenir la pandémie,Santitaire/Economie/Politique,Maroc
2020-12-10,2020-12-10,Normalisation avec Israël annoncée,Maroc annonce la normalisation des relations avec Israël dans le cadre des Accords d’Abraham,Politique/Géopolitique/Global,Maroc/Israël
2023-09-08,2023-10-08,Séisme de Marrakech-Al Haouz,Séisme majeur dans le centre du Maroc provoquant des destructions et d’importantes pertes humaines,Santanitaire/Géopolitique,Maroc
2023-09-09,2023-11-30,Réactions et assistance internationale après le séisme,Forte mobilisation nationale et internationale pour les secours et la reconstruction,Politique/Logistique/Santitaire,Maroc
2024-07-01,2024-12-31,Coupe d’Afrique féminine des nations 2024 (WAFCON hosted by Morocco),Maroc accueille et organise la compétition féminine de football en Afrique,Sport/Géopolitique,Maroc
2024-12-01,2025-12-31,Réformes économiques et industrialisation,"Suite à des plans nationaux, accroissement des investissements dans l’industrie et l’agriculture",Économie/Technologie,Maroc
2025-01-01,2025-12-31,Lancement de nouvelles mesures de régionalisation et autonomie administrative,Renforcement du régionalisme et révision des compétences locales,Politique/Géopolitique,Maroc
2012-01-01,2012-12-31,Import MDF/HDF Libye 2012,"Import quantity MDF/HDF Libye: 24,212 m3 (FAO UNData)",Économie/Logistique,Libye
2013-01-01,2013-12-31,Import MDF/HDF Libye 2013,"Import quantity MDF/HDF Libye: 17,370 m3 (FAO UNData)",Économie/Logistique,Libye
2014-01-01,2014-12-31,Import MDF/HDF Libye 2014,"Import quantity MDF/HDF Libye: 13,145 m3 (FAO UNData)",Économie/Logistique,Libye
2015-01-01,2015-12-31,Import MDF/HDF Libye 2015,"Import quantity MDF/HDF Libye: 9,572 m3 (FAO UNData)",Économie/Logistique,Libye
2016-01-01,2016-12-31,Import MDF/HDF Libye 2016,"Import quantity MDF/HDF Libye: 12,167 m3 (FAO UNData)",Économie/Logistique,Libye
2017-01-01,2017-12-31,Import MDF/HDF Libye 2017,"Import quantity MDF/HDF Libye: 7,073 m3 (FAO UNData)",Économie/Logistique,Libye
2018-01-01,2018-12-31,Import MDF/HDF Libye 2018,"Import quantity MDF/HDF Libye: 6,499 m3 (FAO UNData)",Économie/Logistique,Libye
2019-01-01,2019-12-31,Import MDF/HDF Libye 2019,"Import quantity MDF/HDF Libye: 31,467 m3 (FAO UNData)",Économie/Logistique,Libye
2020-01-01,2020-12-31,Import MDF/HDF Libye 2020,"Import quantity MDF/HDF Libye: 17,562 m3 (FAO UNData)",Économie/Logistique,Libye
2021-01-01,2021-12-31,Import MDF/HDF Libye 2021,"Import quantity MDF/HDF Libye: 17,562 m3 (FAO UNData)",Économie/Logistique,Libye
2012-01-01,2012-12-31,Import Hardboard Libye 2012,"Import quantity Hardboard Libye: 1,172 m3 (FAO UNData)",Économie/Logistique,Libye
2013-01-01,2013-12-31,Import Hardboard Libye 2013,"Import quantity Hardboard Libye: 1,531 m3 (FAO UNData)",Économie/Logistique,Libye
2014-01-01,2014-12-31,Import Hardboard Libye 2014,Import quantity Hardboard Libye: 904 m3 (FAO UNData),Économie/Logistique,Libye
2015-01-01,2015-12-31,Import Hardboard Libye 2015,Import quantity Hardboard Libye: 795 m3 (FAO UNData),Économie/Logistique,Libye
2012-07-01,2012-07-01,Élections et Assemblée nationale transitoire,Élection de la General National Congress et formation d’un cadre politique intérimaire après la chute de Kadhafi,Politique/Géopolitique,Libye
2012-09-01,2013-04-01,Instabilité gouvernementale croissante,"Affrontements et tensions entre factions politiques et sécuritaires, aggravant l’occupation d’institutions",Politique/Géopolitique/Social,Libye
2013-06-01,2013-12-01,Crise sécuritaire et répression des milices,Augmentation des attaques et tentatives de consolidation du pouvoir par des milices,Sécurité/Politique,Libye
2014-01-01,2014-12-01,Début du conflit entre le gouvernement de Tobrouk et les groupes militants,Conflit armé entre le Conseil présidentiel/House of Representatives et groupes militants à travers le pays,Géopolitique/Conflit,Libye
2015-12-01,2015-12-01,Signature de l’accord politique de Skhirat,Accord soutenu par l’ONU pour former le Gouvernement d’accord national (GNA) afin d’unifier le pays,Politique/Juridique,Libye
2016-01-01,2016-12-01,Renforcement de la fragmentation politique,Création et reconnaissance de gouvernements parallèles dans différentes villes,Politique/Géopolitique,Libye
2012-03-01,2012-03-31,Révision des procédures d'importation du bois,Révision des procédures douanières et des licences d'importation du bois au cours du début de la décennie,Logistique/Économie,Égypte
2012-06-01,2012-06-30,Impact de la stabilité politique sur le commerce du bois,Contexte d'instabilité politique qui a influencé les flux d'import/export de bois et les coûts logistiques,Économie/Politique/Logistique,Égypte
2013-11-15,2013-12-15,Baisse des volumes d'import de bois suite à la conjoncture régionale,Réduction des importations de bois en raison de tensions économiques et de volatilité du taux de change,Économie,Égypte
2014-02-01,2014-02-28,Crise de liquidités et contraintes de change affectant les importations de bois,Difficultés d'accès aux devises entraînant des retards et réductions d'importations de bois,Économie/Logistique,Égypte
2015-05-01,2015-05-31,Renforcement des contrôles sanitaires et phytosanitaires sur le bois importé,Renforcement des inspections pour les produits en bois importés afin de se conformer aux normes sanitaires,Juridique/Environnement,Égypte
2016-09-01,2016-09-30,Évolution des règles d'enregistrement des exportateurs de bois,"Mise à jour des systèmes d'enregistrement et de conformité des exportateurs de bois, avec possibilité d'audits",Juridique/Économie,Égypte
